,Price,Time,Decision
0,53.40000000000033,0.01,RS
1,64.40000000000049,0.01,WS
2,68.40000000000055,0.01,SR
3,52.60000000000032,0.26,RS
4,64.40000000000049,0.26,WS
5,68.40000000000055,0.26,SR
6,52.40000000000032,0.51,RS
7,64.40000000000049,0.51,WS
8,68.40000000000055,0.51,SR
9,52.40000000000032,0.76,RS
10,64.40000000000049,0.76,WS
11,68.40000000000055,0.76,SR
12,51.2000000000003,1.01,RS
13,64.40000000000049,1.01,WS
14,68.40000000000055,1.01,SR
15,51.1000000000003,1.26,RS
16,64.40000000000049,1.26,WS
17,68.40000000000055,1.26,SR
18,49.70000000000028,1.51,RS
19,64.40000000000049,1.51,WS
20,68.40000000000055,1.51,SR
21,49.70000000000028,1.76,RS
22,64.40000000000049,1.76,WS
23,68.40000000000055,1.76,SR
24,48.90000000000027,2.01,RS
25,64.40000000000049,2.01,WS
26,68.40000000000055,2.01,SR
27,47.900000000000254,2.26,RS
28,64.40000000000049,2.26,WS
29,68.40000000000055,2.26,SR
30,44.80000000000021,2.51,RS
31,64.40000000000049,2.51,WS
32,68.40000000000055,2.51,SR
33,44.80000000000021,2.76,RS
34,64.40000000000049,2.76,WS
35,68.40000000000055,2.76,SR
36,32.80000000000004,3.01,WS
37,40.900000000000155,3.01,RS
38,64.40000000000049,3.01,WS
39,68.40000000000055,3.01,SR
